Title,Author,Year,Any location source,Country,Abstract,Has abstract,Has references
"NIVEL DE ÉTICA EN ESTUDIANTES UNIVERSITARIOS, TRUJILLO, 2026",Renzo Jesús Maldonado Gómez|José Elías Carranza Alvarado|Lucia Violeta Muñoz Aguilar,2026,Zenodo (CERN European Organization for Nuclear Research),PE|PE|PE,"La presente investigación tuvo como propósito principal, determinar el nivel de ética en estudiantes universitarios en el sector de Trujillo, 2026. Los objetivos específicos abarcaron tres dimensiones para establecer este nivel: valores, decisiones y acciones en los estudiantes. Se sustentó teóricamente en la virtud de Aristóteles, quien afirma que una persona se comporta éticamente cuando cultiva virtudes como la honestidad, la justicia, la templanza y la prudencia. Se utilizó la metodología con enfoque cuantitativo, diseño no experimental, nivel descriptivo, tipo básico. Como instrumento de recolección de datos se aplicó una encuesta a 63 estudiantes universitarios, manejando la población y muestra por conveniencia. Entre los hallazgos encontrados tenemos que los estudiantes encuestados no transgredieron la ética, obteniendo un 81% y el 19% si la infringieron. Para concluir, esta investigación permitió evaluar el nivel de ética de los estudiantes, considerando no solo sus acciones, sino también la práctica de valores en la vida universitaria. Estas conductas pueden influir en el cumplimiento de las normas establecidas por la universidad y en la calidad de su entorno académico y social, desarrollando virtudes en los estudiantes universitarios, guiando la forma en que deben comportarse en situaciones reales, conduciéndolos a implementar los principios y valores éticos en las acciones y decisiones de la vida diaria, hacia el respeto, la justicia, la responsabilidad y el bienestar común",Has abstract,not has references
"NIVEL DE ÉTICA EN ESTUDIANTES UNIVERSITARIOS, TRUJILLO, 2026",Renzo Jesús Maldonado Gómez|José Elías Carranza Alvarado|Lucia Violeta Muñoz Aguilar,2026,Zenodo (CERN European Organization for Nuclear Research),PE|PE|PE,"La presente investigación tuvo como propósito principal, determinar el nivel de ética en estudiantes universitarios en el sector de Trujillo, 2026. Los objetivos específicos abarcaron tres dimensiones para establecer este nivel: valores, decisiones y acciones en los estudiantes. Se sustentó teóricamente en la virtud de Aristóteles, quien afirma que una persona se comporta éticamente cuando cultiva virtudes como la honestidad, la justicia, la templanza y la prudencia. Se utilizó la metodología con enfoque cuantitativo, diseño no experimental, nivel descriptivo, tipo básico. Como instrumento de recolección de datos se aplicó una encuesta a 63 estudiantes universitarios, manejando la población y muestra por conveniencia. Entre los hallazgos encontrados tenemos que los estudiantes encuestados no transgredieron la ética, obteniendo un 81% y el 19% si la infringieron. Para concluir, esta investigación permitió evaluar el nivel de ética de los estudiantes, considerando no solo sus acciones, sino también la práctica de valores en la vida universitaria. Estas conductas pueden influir en el cumplimiento de las normas establecidas por la universidad y en la calidad de su entorno académico y social, desarrollando virtudes en los estudiantes universitarios, guiando la forma en que deben comportarse en situaciones reales, conduciéndolos a implementar los principios y valores éticos en las acciones y decisiones de la vida diaria, hacia el respeto, la justicia, la responsabilidad y el bienestar común",Has abstract,not has references
"Influencers virtuales: percepción, ética e intención de compra",Igor Scognamiglio|Angela Accardo,2026,Revista de estudios socioeducativos RESED|RODIN (Universidad de Cádiz),IT|IT,"Este estudio analiza las percepciones generacionales hacia los influencers virtuales y su impacto en la intención de compra. Mediante una metodología cualitativa y cuantitativa, se examinan las reacciones de nativos e inmigrantes digitales ante estas entidades. Los resultados revelan una polarización marcada: mientras los jóvenes valoran la estética CGI, los mayores muestran rechazo por el efecto del “Valle Inquietante” (Uncanny Valley). La investigación concluye que la falta de vulnerabilidad biológica limita la confianza profunda, sugiriendo que el futuro de la influencia digital reside en una coexistencia híbrida y ética, donde la perfección algorítmica se integre con la autenticidad humana para generar credibilidad.",Has abstract,not has references
Competencia ética en la formación de máster,"Amèlia Tey|M.R Buxarrais Estrada|Lidia Daza Pérez|Esteban Bara, Francisco, 1975-|Pilar Figuera Gazo|Eva Ferraz|Zulma Gastaldo|Carmen Jerez Delgado|Noemí Jiménez Cardona|Juan Llanes|Silvia Batlle|Miquel Martínez Martín|Laura Martínez|M. Cruz (María Cruz) Molina|Elisenda Pérez Muñoz|David Vallespín Pérez",2026,Dipòsit Digital de la Universitat de Barcelona (Universitat de Barcelona),|||||||||||||||,"El libro que tienes en las manos es el resultado del trabajo de un grupo de profesorado de la universidad ocupados en el desarrollo, aprendizaje y capacitación competencial del estudiantado de másteres; y con el interés focalizado en explorar en profundidad cómo las competencias éticas son percibidas, significadas y desarrolladas en la práctica, a la vez que con el propósito de diseñar y evaluar actividades susceptibles de realizar en el aula...",Has abstract,not has references
La ética en la contabilidad y el fraude contable,Natalia Montero Salgado,2026,Communities in ADDI (University of the Basque Country),,"[spa] Este trabajo analiza la relación entre la ética profesional en la contabilidad y el fraude contable, destacando la importancia de los valores éticos en la elaboración y presentación de la información financiera. En el contexto empresarial contemporáneo, la contabilidad desempeña un papel clave en la adecuada gestión de las organizaciones y en el correcto funcionamiento de los mercados financieros. A través de ella es posible obtener una visión precisa de la situación económica, patrimonial y de los resultados de las empresas. Esta información resulta fundamental para la toma de decisiones por parte de las personas inversoras, organismos públicos y demás agentes interesados, lo que hace imprescindible que los estados financieros se elaboren con fiabilidad, claridad y exactitud, garantizando así la confianza en el sistema económico y favoreciendo prácticas de gestión responsables y sostenibles. Debido a esta dimensión social, la contabilidad no debe concebirse solo como una disciplina técnica regida por normas, sino como una actividad que requiere un firme compromiso ético. La labor de quienes se dedican profesionalmente a la contabilidad conlleva la aplicación de criterios interpretativos, la emisión de juicios profesionales y la adopción de decisiones con posibles repercusiones en el conjunto de la sociedad. Por ello, la ética se convierte en un pilar fundamental para asegurar la honestidad, la imparcialidad y la responsabilidad en el ejercicio de la profesión, así como para reforzar la confianza de la ciudadanía en la información financiera. A lo largo del documento se abordan los fundamentos teóricos de la ética, su aplicación en el ámbito profesional y empresarial, así como el papel de los códigos éticos y los diferentes tipos de fraude y cómo prevenirlos. Asimismo, se estudian las principales tipologías de fraude contable, los mecanismos más eficaces de detección y denuncia, y el marco regulador internacional, europeo y nacional. Finalmente, se examinan tres de los escándalos financieros más relevantes, el de Enron, el de Parmalat y el de Pescanova, con el objetivo de extraer lecciones, promover una reflexión crítica y plantear los retos actuales y futuros de la profesión contable.",Has abstract,not has references
La ética acelerante y el nuevo espíritu del academicismo,Benjamín Riveros|Nicolás Tobar Jorquera|Darío Novoa Montero,2026,Recerca Revista de pensament i anàlisi|DOAJ (DOAJ: Directory of Open Access Journals),CL|CL|CL,"La academia contemporánea ha adquirido un carácter vertiginoso, donde no basta explicar su transformación apelando al capitalismo académico o al productivismo científico. Lo que realmente la atraviesa es una ética acelerante, una mentalidad que premia la velocidad, la eficiencia y la productividad constante. A partir del marco teórico de la aceleración desarrollado por Hartmut Rosa, se ensaya una teoría de la aceleración académica que combina elementos estructurales —como los dispositivos de gestión estatal y las lógicas evaluativas del sistema científico— con dimensiones culturales que modelan los deseos y temores de los académicos. Este enfoque permite comprender de modo matizado tanto las patologías que genera la aceleración —fragmentación, alienación y superficialidad reflexiva— como los logros asociados a su racionalización ―mayor sofisticación metodológica y apertura del conocimiento—, para finalmente proponer una reorganización de la vida académica que recupere el sentido del pensamiento como una práctica formativa, pausada y significativa.",Has abstract,not has references
"Nivel de ética en estudiantes universitarios, Trujillo, 2026",Renzo Jesús Maldonado Gómez|José Elías Carranza Alvarado|Lucia violeta Muñoz Aguilar,2026,Dialnet (Universidad de la Rioja),||,"The main purpose of this research was to determine the level of ethics in university students in the Trujillo sector, 2026. The specific objectives covered three dimensions to establish this level: values, decisions and actions in the students. It was theoretically based on the virtue of Aristotle, who states that a person behaves ethically when he cultivates virtues such as honesty, justice, temperance and prudence. The methodology was used with a quantitative approach, non-experimental design, descriptive level, basic type. As a data collection instrument, a survey was applied to 63 university students, managing the population and sample for convenience. Among the findings found, we have that the students surveyed did not transgress ethics, obtaining 81% and 19% if they violated it. To conclude, this research made it possible to evaluate the level of ethics of the students, considering not only their actions, but also the practice of values in university life. These behaviors can influence compliance with the rules established by the university and the quality of its academic and social environment, developing virtues in university students, guiding the way they should behave in real situations, leading them to implement ethical principles and values in the actions and decisions of daily life, towards respect, justice, responsibility and common welfare.",Has abstract,not has references
Inteligencia Artificial y Periodismo: miradas desde la ética.,Mónica Melero Lázaro,2026,DOAJ (DOAJ: Directory of Open Access Journals),,,Has abstract,not has references
Metafísica y ética ascética en Máximo el Confesor,Jacob Buganza Torio,2026,Dialnet (Universidad de la Rioja),,"This article examines the metaphysical and ascetic ethical framework in Maximus the Confessor’s Liber Asceticus, Capita de Caritate, and Expositio in Orationem Dominicam. Maximus’ metaphysics posits God as the creator and final cause, with divine logos unifying the sensible and intelligible, culminating in the Incarnation for human deification. His philosophical anthropology views humans as rational, free beings created in God’s image, fallen through sin, yet called to theosis via purification of the intellect (noûs). His ascetic ethics, rooted in love (agápē), demands renunciation of passions, virtuous practice, and imitation of Christ, fostering union with God and neighbor. Integrating Neoplatonism, Scripture, and patristic tradition, Maximus underscores deification as humanity’s ultimate goal, achieved through spiritual and moral transformation.",Has abstract,not has references
Ética profesional y buenas prácticas ciudadanas en el rol educativo,María José Sánchez Vázquez|María José Sánchez Vázquez,2026,El Servicio de Difusión de la Creación Intelectual (National University of La Plata),|,"Las acciones profesionales docentes pueden ser pensadas como prácticas ciudadanas, y por ello, acciones públicas de cuidado y sensatas. Desde la mirada ética, el acto docente comporta siempre un ethos y una responsabilidad situada para la necesaria deliberación sobre las situaciones conflictivas, y muchas veces paradojales, vividas a diario en las instituciones educativas. Entre los diferentes colectivos que conviven en la escena educativa, las personas con discapacidades constituyen un desafío relevante respecto de la acción profesional como una buena práctica ciudadana. En lo que sigue, presentaremos conceptos éticos claves, desarrollados como parte de la Ética, para poder pensarlos en contextos escolares inclusivos. La Ética es una disciplina filosófica práctica, su objeto de estudio toma las acciones humanas referidas específicamente a lo moral. La Ética como disciplina reflexiona de modo crítico sobre el fenómeno moral (Cullen, 1998). En nuestro caso, estos conceptos clave podrán aportar un marco ético-conceptual desde donde poder pensar las propias prácticas profesionales docentes en relación a los colectivos de personas con discapacidades, más allá de buenas voluntades o intuiciones particulares.",Has abstract,not has references
